Hotel Name,City Name,Review_Language,Prompt_Language,Upside_Review,Downside_Review,Review_Score,Sentiment
Gurkent Hotel,Ankara,Romanian,Russian,"Hotelul Gurkent din Ankara este cu adevărat o alegere excelentă pentru călătorii. Camerele sunt confortabile și curate, cu toate facilitățile necesare. Personalul este foarte prietenos și util iar localizarea este fantastică, foarte aproape de majoritatea atracțiilor turistice.","Probabil mai multe opțiuni pentru restaurantul hotelului ar fi fost minunate, dar în ciuda acestui mic dezavantaj, tot a fost o experiență foarte plăcută",9,POS
Gurkent Hotel,Ankara,Romanian,Romanian,"Hotelul Gurkent din Ankara este un loc minunat pentru a sta. Camerele sunt încăpătoare și foarte curate, iar personalul este extrem de prietenos și serviciabil. Micul dejun este delicios, cu o varietate mare de opțiuni de a alege.",Nimic de menționat,8,POS
Kahya Hotel Ankara,Ankara,Romanian,English(Turkish),"A fost placut, camerele erau curate si personalul a fost foarte prietenos.","Totul a fost bine, nu am avut probleme.",9,POS
Kahya Hotel Ankara,Ankara,Romanian,English(French),"Hotelul Kahya din Ankara este o alegere excelentă pentru călătorii de afaceri sau de plăcere. Personalul a fost extrem de prietenos și serviciul a fost impecabil. Mâncarea din restaurantul hotelului este delicioasă, iar camera în care am stat a fost spațioasă și curată.  Locația este foarte centrală, oferind acces ușor la numeroase atracții turistice. Felicitări echipei Kahya pentru serviciile excelente oferite!","Dacă aș avea să menționez un dezavantaj, ar fi faptul că conexiunea la internet a fost uneori instabilă.",9,POS
Latanya Hotel Ankara,Ankara,Romanian,English(Korean),A fost un sejur excelent! Camerele sunt extrem de spațioase și curate. Mâncarea este incredibil de gustoasă și diversificată. Personalul amabil care face tot posibilul pentru a îți întâmpina toate nevoile.,Unele camere nu au vedere frumoasă. Aerul condiționat funcționează cu intermitență.,9,POS
Latanya Hotel Ankara,Ankara,Romanian,English(Spanish),"Am stat la Latanya Hotel Ankara și a fost o experiență minunată. Camerele sunt foarte bine amenajate, personalul este prietenos și primitore, iar mâncarea este delicioasă. De asemenea, locația este centrală ceea ce a făcut ca vizitarea orașului să fie foarte ușoară.","Internetul a fost uneori un pic lent, dar în rest totul a fost perfect.",9,POS
Mina 1 Hotel,Ankara,Romanian,Italian,"Cameră curată și confortabilă cu amenajare modernă. Personalul a fost foarte amabil și pregătit să ajute oricând. Amplasarea hotelului e foarte convenabilă, aproape de multe obiective turistice și restaurante.","Totul a fost după așteptări, nu am nimic de criticat.",10,POS
Mina 1 Hotel,Ankara,Romanian,French,"Hotelul Mina 1 din Ankara m-a impresionat prin curățenia exemplară și serviciile excelente. Personalul a fost extrem de prietenos și întotdeauna gata să ajute. Micul dejun a fost diversificat și delicios, iar locația centrală a hotelului a făcut accesul la principalele atracții foarte ușor.","Chiar dacă este într-o zonă centrală, noaptea este suprinzător de liniștit, deci nu au existat probleme majore de zgomot.",8,POS
Niza Park Hotel,Ankara,Romanian,Turkish,"Camera era foarte curată și confortabilă, personalul a fost amabil și disciplic.","Deși micul dejun era bun, diversitatea putea fi îmbunătățită.",8,POS
Niza Park Hotel,Ankara,Romanian,French,"Personalul a fost extrem de amabil și helpful, iar curățenia în camere a fost impecabilă. De asemenea, localizarea hotelului în Ankara este foarte convenabilă.","Wi-Fi-ul putea fi un pic mai rapid, dar în general a fost în regulă.",9,POS
Point Hotel Ankara,Ankara,Romanian,English(Turkish),Hotelul este foarte curat si confortabil. Personalul a fost foarte amabil si ajutator. Mic dejun foarte bun.,Purtarea mastii nu a fost respectata peste tot in hotel.,9,POS
Point Hotel Ankara,Ankara,Romanian,Turkish,O locație excelentă cu personal foarte amabil și servicii de calitate.,nan,9,POS
Sahinbey Hotel,Ankara,Romanian,English(Turkish),"Personalul a fost foarte amabil si ospitalier. Camera a fost confortabila, curata si cu o priveliste frumoasa spre oras. Locatia hotelului este excelenta, fiind aproape de majoritatea obiectivelor turistice.","Micul dejun a fost ok, dar nu foarte diversificat. As fi apreciat mai multe optiuni de mancare.",9,POS
Sahinbey Hotel,Ankara,Romanian,German,"Personalul foarte amabil, mancare delicioasa al restaurantului hotelului.",Camerele puteau fi mai curate.,7,POS
The Ankara Hotel,Ankara,Romanian,Korean,"Camera foarte comfortabila si curata, personalul extrem de amabil si ospitalier, mancare de calitate.",Wi-fi-ul a fost putin nesatisfacator.,8,POS
The Ankara Hotel,Ankara,Romanian,Romanian,"Camerele sunt curate și confortabile și sunt echipate cu toate facilitățile de care aveți nevoie. Angajații sunt amabili și gata să ajute cu orice. Bufetul de mic dejun este excelent, cu o varietate mare de feluri de mâncare sănătoase. Apreciez în mod deosebit amplasarea hotelului, accesul facil la principalele atracții ale orașului facând acest hotel o alegere excelentă.",Faptul ca semnalul Wi-Fi nu a fost foarte puternic in camera mea este singurul aspect negativ pe care l-am intampinat la acest hotel.,8,POS
Akar International Hotel,Ankara,Romanian,Turkish,"Hotelul Akar International oferă camere spațioase și confortabile, cu personal amabil și disponibil. Sala de mese este excelentă, iar mâncarea este deosebită. De asemenea, locația este foarte bună, fiind aproape de multe atracții turistice.",Nu am avut nicio nemulțumire în timpul șederii mele.,9,POS
Hilton Beijing,Beijing,Romanian,Romanian,nan,"Serviciul a fost dezamăgitor. Personalul de la recepție nu a fost deloc prietenos sau util. Probleme mari și cu conexiunea la internet, iar prețul pentru serviciul de internet era extrem de ridicat. De asemenea, curățenia camerei lasă de dorit.",5,NEG
Beijing Yue Bin Ge Courtyard Hotel,Beijing,Romanian,English(Italian),"Mi-a plăcut mult atmosfera tradițională a hotelului Beijing Yue Bin Ge Courtyard. Personalul a fost foarte drăguț și amabil, gata să ajute la orice necesar. Camerele sunt curate și confortabile, cu mobilă tradițională chinezească. În plus, capacitatea mare de parcare m-a impresionat.","Comunicarea a fost uneori o provocare, deoarece nu toți angajații vorbeau fluent engleză.",8,POS
"Holiday Inn Express Beijing Dongzhimen, an IHG Hotel",Beijing,Romanian,English(Romanian),"Foarte impresionat de nivelul serviciului oferit la Holiday Inn Express Beijing Dongzhimen. Personalul a fost foarte amabil si util, mereu gata sa ajute. Camera a fost spatioasa, curata si bine echipata, asigurand un sejur confortabil. Micul dejun oferit a fost destul de variat.",nan,9,POS
Qianmen Courtyard Hotel,Beijing,Romanian,English(German),"Hotelul Qianmen Courtyard oferă experiența autentică a traiului tradițional chinezesc, cu arhitectura sa minunată și camere confortabile. Angajatii sunt foarte prietenoși și sunt gata să ajute în orice moment. Amplasarea este perfectă, fiind ușor de ajuns la diferite obiective turistice.",Nu am identificat aspecte negative.,8,POS
MEININGER Hotel Berlin Hauptbahnhof,Berlin,Romanian,English(Italian),"MEININGER Hotel Berlin Hauptbahnhof a fost o alegere excelentă. Am fost foarte multumit de pozitionarea centrala a hotelului, aproape de gara Hauptbahnhof. Camerele au fost curate, confortabile și bine echipate. Echipa de personal a fost foarte atentă și prietenoasă, fiind gata întotdeauna sa ne ajute.","Micul dejun ar putea fi îmbunătățit cu puțină diversitate în plus, însă în general a fost ok.",8,POS
MEININGER Hotel Berlin Hauptbahnhof,Berlin,Romanian,English(French),"Hotelul MEININGER din Berlin Hauptbahnhof este o alegere minunată. Este situat excelent, foarte aproape de principalele atracții turistice. Camerele sunt elegante, confortabile și foarte curate. Apreciez foarte mult personalul amabil și receptiv, precum și micul dejun delicios care ne-a încărcat bateriile pentru toată ziua. De asemenea, am fost impresionat de stilul modern și relaxant al hotelului.",Singurul meu reproș ar fi că internetul Wi-Fi putea fi un pic mai rapid. Alt aspect care poate fi imbunatatit este variatia de alimente la micul dejun.,9,POS
MEININGER Hotel Berlin Hauptbahnhof,Berlin,Romanian,Turkish,"Impresionant de aproape de gară - literalmente la doi pași! Personalul foarte prietenos și dispus să ajute cu orice aveam nevoie. Camerele erau curate și confortabile, iar designul lor modern a fost o atingere plăcută. De asemenea, bucătăria comună bine utilată a fost un plus mare. Prețuri foarte rezonabile.","Lipsa unui restaurant în incintă a fost o mică neplăcere, dar există multe opțiuni de luat masa în imediata apropiere.",8,POS
MEININGER Hotel Berlin Hauptbahnhof,Berlin,Romanian,Spanish,"Locația incredibil de convenabilă, la câțiva pași de Hauptbahnhof. Personalul a fost foarte prietenos și util și camerele curate și confortabile.",Nici unul.,9,POS
MEININGER Hotel Berlin Hauptbahnhof,Berlin,Romanian,German,"Am apreciat mult disponibilitatea personalului. Camera era curată, aranjată cu gust și confortabilă.",Un singur lucru nu mi-a plăcut: conexiunea la internet a fost slabă.,9,POS
MEININGER Hotel Berlin Hauptbahnhof,Berlin,Romanian,French,Hotelul este foarte confortabil și are o locație excelentă,Un mic dejun puțin scump,7,POS
MEININGER Hotel Berlin Hauptbahnhof,Berlin,Romanian,Spanish,Personalul a fost foarte amabil si întotdeauna gata sa ajute. Camerele sunt curate si confortabile.,Ceva mai multa varietate la micul dejun ar fi fost binevenita.,8,POS
MEININGER Hotel Berlin Hauptbahnhof,Berlin,Romanian,Chinese,"Locația este excelentă, aproape de gară și de principalele atracții ale orașului","Camera a fost un pic prea mică pentru gustul meu, dar în rest totul a fost bine",9,POS
MEININGER Hotel Berlin Hauptbahnhof,Berlin,Romanian,English(Turkish),"Locația hotelului este fantastică, chiar lângă Hauptbahnhof, principala stație de tren din Berlin, făcându-l foarte convenabil pentru explorare. Camerele sunt curate, moderne și confortabile. Personalul a fost extrem de prietenos și util, întotdeauna gata să ajute cu recomandări sau direcții.","Singurul dezavantaj a fost zgomotul. Datorită proximității față de stația de tren, poate fi puțin zgomotos, însă nu suficient încât să tulbure somnul.",8,POS
MEININGER Hotel Berlin Hauptbahnhof,Berlin,Romanian,English(Turkish),Amplasamentul hotelului aproape de gara centrală.,"Patul nu era confortabil, pernele prea moi, zgomot de la traficul intens, mic dejun scump si variatia lui limitata.",4,NEG
ibis Berlin Messe,Berlin,Romanian,French,"Hotelul ibis Berlin Messe este foarte confortabil, cu camere curate și personal amabil. Micul dejun a fost delicios și foarte diversificat. Totul la o distanță foarte scurtă de centrul orașului Berlin.",Singurul meu regret este că WiFi-ul nu era întotdeauna stabil.,8,POS
ibis Berlin Messe,Berlin,Romanian,Chinese,"Un hotel bun cu personal prietenos și servicii bune. Camera a fost curată și confortabilă. Micul dejun a fost, de asemenea, destul de bun și oferă o varietate mare pentru a alege. Poziția este la doar câteva minute de centrul orașului și aproape de stația de metrou.",Wi-Fi-ul nu funcționează întotdeauna bine.,7,POS
ibis Berlin Messe,Berlin,Romanian,Italian,"Poziționarea este bună, în apropiere de stația de metrou.","Camera în care am stat avea un miros persistent neplăcut, ca de umiditate sau mucegai. Salteaua patului era foarte incomodă și cameră a fost cam gălăgioasă, neizolind destul zgomotul străzii. De asemenea, serviciul oferit de Hotel ibis Berlin Messe nu a fost la nivelul așteptărilor noastre, cu mult sub ceea ce ne imaginam că ibis oferă",3,NEG
ibis Berlin Messe,Berlin,Romanian,Russian,"Localizare buna, aproape de statia de metrou","Camera a fost foarte mică și neconfortabilă. Mobila era veche și părea murdară. De asemenea, a trebuit să plătesc pentru WiFi, ceea ce mi s-a părut destul de ciudat în zilele noastre. Personalul nu a fost foarte prietenos sau util. General vorbind, calitatea nu se potrivește cu prețul.",2,NEG
"Holiday Inn Express Berlin City Centre, an IHG Hotel",Berlin,Romanian,English(German),Camerele sunt foarte spatioase si curate. Personalul este foarte amabil si serviciile sunt de calitate,Micul dejun putea fi mai variat,9,POS
"Holiday Inn Express Berlin City Centre, an IHG Hotel",Berlin,Romanian,Romanian,"Foarte mulțumit de acest hotel, servicii de calitate, camere curate și confortabile. Poziționare excelentă, aproape de atât de obiective turistice. Personalul hotelului este amabil și prompt.",Niciun aspect negativ pe timpul șederii noastre.,10,POS
"Holiday Inn Express Berlin City Centre, an IHG Hotel",Berlin,Romanian,English(Romanian),"Hotelul Holiday Inn Express Berlin City Centre este o alegere excelentă pentru călătorii în capitala Germaniei. Localizarea este perfectă, aproape de toate atracțiile turistice. Camerele sunt spațioase, bine echipate și foarte curate. Personalul este extrem de prietenos și mereu gata să ajute. Micul dejun a fost variat și deosebit de gustos.","Singurul inconvenient a fost zgomotul de pe stradă, dar asta este de așteptat în centrul unui oraș mare.",9,POS
"Holiday Inn Express Berlin City Centre, an IHG Hotel",Berlin,Romanian,Russian,"Camera a fost mare, luminos si foarte curat. Personalul a fost foarte amabil si dispus sa ajute oricand. Micul dejun a fost delicios si variat. Locația este, de asemenea, excelentă - aproape de stații de metrou si foarte usor de ajuns la principalele atractii din Berlin. Recomand cu caldura acest hotel!",Nu am identificat niciun aspect negativ semnificativ. Poate doar faptul ca ar fi bine daca ar oferi si servicii de SPA.,10,POS
"Holiday Inn Express Berlin City Centre, an IHG Hotel",Berlin,Romanian,English(Russian),"Localizarea este excelentă, la doar câteva minute de mers pe jos de stația de metrou. Camera a fost curată și confortabilă, iar personalul a fost extrem de prietenos și util. Micul dejun a fost, de asemenea, foarte bun, cu o varietate mare de opțiuni din care să alegeți.",Wi-Fi-ul era uneori un pic instabil.,9,POS
"Holiday Inn Express Berlin City Centre, an IHG Hotel",Berlin,Romanian,Chinese,"Locația hotelului este deosebit de convenabilă, chiar în inima Berlinului. Camerele sunt spațioase, curate și bine amenajate. Personalul a fost foarte prietenos și tot timpul pregătit să ajute.","Micul dejun ar putea fi puțin mai variat. De asemenea, s-ar putea îmbunătăți izolarea fonică a camerelor.",8,POS
"Holiday Inn Express Berlin City Centre, an IHG Hotel",Berlin,Romanian,English(Spanish),Localizare perfectă pentru turistul obosit. Camere simple și curate și un mic dejun bogat care te încearcă în fiecare dimineață. Personalul este foarte prietenos și întotdeauna gata să ajute.,Absolut fără plângeri sau sugestii de îmbunătățire.,10,POS
"Holiday Inn Express Berlin City Centre, an IHG Hotel",Berlin,Romanian,English(French),"Am avut o ședere plăcută la hotelul Holiday Inn Express Berlin City Centre. Camerele erau curate şi confortabile, micul dejun oferit a fost bogat și variat, iar personalul a fost extrem de amabil şi serviabil. Locația este excelentă, la câteva minute de mers pe jos de atracțiile principale din Berlin.","Nu am întâmpinat probleme majore în timpul șederii noastre. Poate ar fi fost util un minibar în cameră, dar nu a fost o problemă majoră.",9,POS
"Holiday Inn Express Berlin City Centre, an IHG Hotel",Berlin,Romanian,English(Korean),"Personal amabil, curatenie impecabila, mic dejun diversificat",Zona hotelului este putin pustie pe timpul noptii,8,POS
"Holiday Inn Express Berlin City Centre, an IHG Hotel",Berlin,Romanian,English(Turkish),"Locația este grozavă, aproape de stația de metrou și de principalele atracții turistice. Camerele sunt curate și moderne, cu toate facilitățile necesare. Personalul este foarte amabil și serviciul este excelent. Micul dejun este variat și delicios, iar loby-ul este un loc minunat pentru a te relaxa după o zi de vizitat.","Ar putea fi mai multe opțiuni pentru cinei în cadrul hotelului, dar având în vedere numărul restaurantelor de înaltă calitate din apropiere, acesta nu este un mare inconvenient. Deasemenea prețul parcării ar putea fi mai mic.",8,POS
"Holiday Inn Express Berlin City Centre, an IHG Hotel",Berlin,Romanian,English(Chinese),Personalul a fost amabil si locatia destul de convenabila.,"Camera era neaerisita si mirosea urat, iar baia nu era curatata corespunzator. Micul dejun a fost mediocru, iar Wi-Fi-ul slab si intrerupt.",3,NEG
Ibis budget Berlin Potsdamer Platz,Berlin,Romanian,English(Turkish),"Hotelul Ibis budget Berlin Potsdamer Platz a fost o surpriză plăcută. Amplasarea este excelentă, numai câțiva pași până la stațiile de metrou și autobuz. Câțiva metri distanță de Potsdamer Platz. Camerele sunt curate și suficient de mari pentru un sejur scurt în Berlin. Personalul a fost foarte amabil și util cu toate informațiile necesare.","Micul dejun a fost un pic limitat în varietate, dar pentru prețul plătit, a fost suficient.",8,POS
Ibis budget Berlin Potsdamer Platz,Berlin,Romanian,English(Romanian),"Hotelul Ibis budget Berlin Potsdamer Platz este un loc excelent pentru a petrece câteva zile în Berlin. Cu o locație centrală, este la o distanță scurtă de mers pe jos față de principalele atracții turistice. Camerele sunt curate și bine echipate, iar personalul este mereu gata să ajute.","Un minus ar fi faptul că micul dejun nu este foarte variat, dar este totuși suficient pentru a începe ziua cu energie.",8,POS
Ibis budget Berlin Potsdamer Platz,Berlin,Romanian,Spanish,"Aproape de stații de transport public și atracții importante, curat și personalul foarte amabil. Prețul a fost rezonabil iar micul dejun tradițional a fost delicios.",Nimic notabil.,8,POS
Ibis budget Berlin Potsdamer Platz,Berlin,Romanian,English(Korean),Hotelul Ibis budget Berlin Potsdamer Platz este convenabil amplasat și oferă camere curate și confortabile.,Cafeaua de dimineață nu a fost pe gustul meu.,8,POS
Ibis budget Berlin Potsdamer Platz,Berlin,Romanian,German,"Locatie excelenta si linista, paturi comode, curatenie si personal prietenos. As recomanda acest hotel cu drag.",nan,8,POS
Ibis budget Berlin Potsdamer Platz,Berlin,Romanian,French,"Camerele erau curate și confortabile. Personalul a fost foarte prietenos și întotdeauna gata să ajute. Este foarte bine situat, fiind aproape de principalele atracții turistice și de stațiile de transport public. Micul dejun a fost diversificat și delicios.","Cameră puțin mici, dar suficient de confortabile pentru un sejur scurt. Aceasta este doar o mică observație, nu a afectat calitatea generală a sejurului meu.",7,POS
Ibis budget Berlin Potsdamer Platz,Berlin,Romanian,Russian,"Hotelul Ibis budget Berlin Potsdamer Platz este o alegere excelentă pentru călătorii. Am fost impresionat de locația centrală, foarte aproape de atracțiile principale ale orașului. Personalul a fost prietenos și tot timpul gata să ajute. Camerele au fost curate și bine întreținute, oferind un bun raport calitate-preț. Micul dejun a fost variat și gustos. O să-l recomand cu încredere prietenilor care vizitează Berlinul.","Zgomotul din exterior poate fi puțin deranjant, dar se înțelege având în vedere locația centrală. Se poate îmbunătăți și selecția canalelor TV.",8,POS
Ibis budget Berlin Potsdamer Platz,Berlin,Romanian,English(Romanian),"Am stat numai o noapte la Ibis Budget Berlin Potsdamer Platz, dar am fost foarte mulțumit. Personalul a fost foarte prietenos și mi-a oferit toate informațiile necesare cu privire la oraș. Camera a fost bine curatată și confortabilă. Locația este excelentă, aproape de multe atracții turistice precum Brandenburg Gate și chekpoint Charlie. In plus, mic-dejunul a fost destul de variat și suficient de satisfăcător.","Camerele sunt ceva mai mici, dar pentru prețul plătit nu pot să mă plâng.",9,POS
Ibis budget Berlin Potsdamer Platz,Berlin,Romanian,German,"Amplasarea hotelului a fost excelentă, aproape de toate punctele cheie ale orașului Berlin. Camerele erau curate și personalul foarte amabil si atent la nevoile noastre.","Desi am fost multumiti de servicii, micul dejun ar putea fi putin mai variat.",8,POS
Ibis budget Berlin Potsdamer Platz,Berlin,Romanian,English(Korean),Locatie foarte aproape de Potsdamer Platz,Camera a fost murdară și micul dejun a fost foarte slab. Serviciul a fost teribil și lipsa de atenție la detaliu a fost evidentă,2,NEG
Schulz Hotel Berlin Wall at the East Side Gallery,Berlin,Romanian,English(Spanish),"Am fost încântat de poziția centrală a hotelului, chiar în inima Berlinului. Camerele erau curate și confortabile, personalul foarte prietenos și serviciile excelente. De asemenea, am apreciat faptul că hotelul se află lângă East Side Gallery, una dintre principalele atracții ale orașului.","Aș dori să fi fost mai multe opțiuni culinare în restaurantul hotelului, dar există multe locuri în jur pentru a explora gastronomia locală.",8,POS
Schulz Hotel Berlin Wall at the East Side Gallery,Berlin,Romanian,Romanian,"Camera a fost foarte confortabilă, curată și spațioasă. Personalul din hotel a fost prietenos și de ajutor. Localizat foarte convenabil, la 2 minute de mers pe jos de la stația de metrou","Micul dejun a fost destul de standard, nimic ieșit din comun. Mai mult, aerul condiționat din camera ar putea fi îmbunătățit",8,POS
Schulz Hotel Berlin Wall at the East Side Gallery,Berlin,Romanian,Spanish,"Hotelul este foarte bine situat, chiar langa galeria East Side, cu acces usor la transportul public. Camerele sunt foarte curate, iar personalul este prietenos si dispus sa ajute.",Aș fi preferat ca micul dejun sa aiba mai multe optiuni si sa fie inclus in pretul camerei.,8,POS
Schulz Hotel Berlin Wall at the East Side Gallery,Berlin,Romanian,English(Chinese),"Am avut o ședere plăcută, camera a fost confortabilă și curată. Personalul a fost prietenos și util. Am fost impresionat de localizarea hotelului, lângă galeria East Side, adăugând o notă artistică și culturală sejurului nostru.",Nu pot identifica niciun aspect negativ pentru acest sejur.,9,POS
Schulz Hotel Berlin Wall at the East Side Gallery,Berlin,Romanian,Spanish,"Hotelul Schulz este situat chiar la poarta centrală a Berlinei, la câțiva pași de Wall Gallery. Camerele sunt luminoase, spațioase și impecabil de curate. Personalul este foarte amabil și mereu gata să ajute. Micul dejun este variat și delicios.",Absent,8,POS
Schulz Hotel Berlin Wall at the East Side Gallery,Berlin,Romanian,Chinese,"Localizare fabuloasă, chiar la peretele Berlinului. Personal amabil, camere curate și confortabile.",Micul dejun ar putea avea o varietate mai mare de opțiuni.,8,POS
Schulz Hotel Berlin Wall at the East Side Gallery,Berlin,Romanian,Spanish,camera curata,prea mult zgomot,9,POS
